도서명,저자,카테고리,내용
우화의 철학,김태환,"철학, 성장","이솝우화는 교훈과 재미를 담고 있지만, 논술에 적합한 질문 거리도 던져준다. 부끄러움과 창피함의 차이는 무엇일까?아름다움과 유용함은 배치되는가? 자유와 생존은 서로를 위협하는가? 마음은 왜 보이지 않는가? 무엇이 진정으로 자부심 가질 만한 것인가? 이 책은 저자가 스스로 발견한 이솝우화의 철학적 질문들에 대해 대답한다."
원하는 성적을 만드는 최소한의 노트 정리,정혜민,"성장, 가족·우정","47,000여 명 구독자 인플루언서 ‘햄이’의 노트 정리 노하우. 큰 맥락을 잡는 방법부터 세세한 디테일까지 노트 공부법에 대한 모든 것을 공개한다. 노베이스도 성적 올릴 수 있는 방법, 성적 향상의 확실한 무기가 되어줄 노트 핵심 비법 공개!"
의대에 가고 싶어졌습니다,서울대학교 의과대학 재학·졸업생,"성장, 가족·우정","학부생부터 다양한 분야에 진출해 있는 선배들까지, 서울대 의대 32인이 들려주는 의대 가기 전 꼭 알아야 할 것들. 의사로서의 삶, 그리고 의대 졸업 후 다양한 방향성을 찾는 과정에 대해 각자의 목소리 그대로를 솔직담백하게 기록되어 있다."
이과형의그런데이것은 과학책입니다1:고전과학편,유우종(이과형),"과학·자연, 역사, 철학","대한민국 대표 과학채널 [이과형]에서 인기 있는 내용을 엄선해, 재밌는 그림과 친절한 과학 해설을 더한 과학 교양서이다. 『고전과학 편』에서는 마찰력, 운동량, 힘, 빛의 굴절, 장력, 부력 등 중·고등학교 때 배우는 기초 과학에 대한 원리를 저자 특유의 중독성 있는 스토리텔링 방식으로 설명한다."
이과형의그런데이것은 과학책입니다2:현대과학편,유우종(이과형),"과학·자연, 성장","대한민국 대표 과학채널 [이과형]에서 인기 있는 내용을 엄선해, 재밌는 그림과 친절한 과학 해설을 더한 과학 교양서이다. 『현대과학 편』에서는 상대성이론, 끈이론, 웜홀, 시공간의 굴곡 등 현대 과학과 일상에서 관심도가 높은 주제를 골라 저자 특유의 중독성 있는 스토리텔링 방식으로 설명한다."
이상한 게 아니라 변하는 중입니다,이케다쇼텐 편집부,"성장, 가족·우정","사춘기 십대들이 겪고 있는 현실 고민을 털어놓으면 의학, 심리전문가들이 솔루션을 제공하는 방식으로 구성되었다. 어른이 되기 위해 알아야 할 몸과 마음에 관한 건강 지식과 올바른 생활 습관이 알차게 담겨 있다."
인공지능과 살아남을 준비,김태권,"과학·자연, 성장","가짜 이미지를 악용한 범죄가 기승을 부리고, 챗GPT로 대표되는 ‘생성형 인공지능’도 급속히 발전해 글을 쓰거나 그림을 그릴 때도 자주 사용한다. 인공지능과 함께 도래할 미래 사회는 어떤 모습일까요? 우리가 어떻게 사용하는지에 따라 달라질 미래 사회 모습을 가늠해 보기 위해, 인공지능에 대해 기초부터 알아볼 수 있는 책이다."
인권을 말해야 할 때,전진성 외,"사회·정의, 성장","6명의 인권 전문가가 인권을 여섯 가지 주제로 나누어 체계적이고 쉽게 알려준다. 인권이 누구의 권리인지, 어디서부터 어디까지가 인권인지 등 인권의 기초부터 심화된 내용인 인권 사상까지를 한 권에 담아 인권 시대에 꼭 필요한 인권 길라잡이이다."
"인류 문명이 꽃핀 6,400km 실크로드",황동하,"역사, 과학·자연","실크로드는 어떻게 수천 년 동안 생명력이 끊이지 않고 문명이 교차하는 길이 되었을까? 과연 그 길 위에서는 무슨 일이 벌어진 걸까? 이 책은 동서양 교역의 상징, 실크로드에 담긴 수천 년의 무궁한 역사를 단순화하고 압축하여 단숨에, 한눈에 담을 수 있도록 구성했다."
인플루언서 소녀에게 으스스한 은총을,김영리,"사회·정의, 성장","패션에 얽힌 환경 문제와 아동 노동 착취 문제를 중학생의 일상에 친숙하고 섬세하게 녹여 냈다. SNS와 패션, 핫 아이템을 추구하는 지극히 평범한 중학생 하늬에게 어느 날 갑자기 생겨 버린 초능력. 실제 사건을 기반으로 한 이 소설은 청소년들의 무분별한 소비로 인해 발생되는 나비 효과가 무엇인지 정확하게 알려 줄 것이다."
일곱째 아이,박정애,"과학·자연, 철학, 가족·우정","‘여성과 생명’이라는 주제를 끊임없이 탐색하는 이야기이다. 비운의 소현세자와 세자빈 강 씨의 죽은 아기인 일곱째 아이를 모티브로 낮고 힘없는 이들이 서로를 살리기 위해 애쓰고, 새로 태어난 생명을 지켜 내기 위해 위험을 무릅쓴다. 작가의 말처럼 ‘한 줌 더 복되고 두 뼘 더 지혜롭고 세 발 더 멀리 나아갈 미래’를 위한 이야기이다."
읽자마자 문해력 천재가 되는 우리말 어휘 사전,박혜경,"예술, 성장","단순히 주제에 해당하는 어휘뿐만 아니라 그 어휘의 동음이의어, 유의어, 반의어는 물론 문법적 특징과 주로 쓰이는 맥락까지 국어를 향한 여러분의 호기심이 한껏 넓어지도록 구성했다. 동시에 한 줄 요약, 읽을거리, 친절한 주석 등으로 스펀지가 물을 빨아들이듯 자연스럽게 국어 공부를 할 수 있다."
읽자마자 우주의 구조가 보이는 우주물리학 사전,다케다 히로키,"과학·자연, 성장",우주가 지닌 가장 큰 매력은 ‘정체를 아무도 모른다’라는 것이다. 우주를 이해하기 위해 필요한 것은 모르는 것에 주눅 들지 않고 끊임없이 질문하는 지적 호기심뿐이다. 우주물리학은 우주에 관해 밝혀지지 않은 것까지도 직접 생각하고 답할 수 있는 힘을 길러준다. 독자는 복잡한 수식과 이론에서 벗어나 우주를 향한 수수께끼를 마음껏 묻고 답하게 될 것이다.
입은 것들의 말하기,강다민,"경제, 성장",우리에게 옷이란 무엇일까. 강다민 작가는 기후위기를 불러온 한 가지 축인 패스트패션을 청소년 문학 안에 담고자 옷이 오늘날 우리에게 주는 의미와 옷을 둘러싼 갈등을 세 사람의 등장인물과  옷 한 벌을 각각 주인공으로 하여 옴니버스식 구성 소설로 풀어냈다. 오늘  '우리가 입은 것들’에 대하여 다시 한번 더 생각해 볼 수 있는 소설이다.
장벽의 모든 것,기획집단 MOIM,"사회·정의, 역사","인류가 세웠던, 세운, 세우고 있는 세계의 모든 장벽들을 담았다. 만리장성부터, 팔레스타인-이스라엘 분리 장벽, 미국-멕시코 국경 장벽, 영토 분쟁이 낳은 서사하라 장벽 등 ‘눈에 보이는 장벽’부터, 이념, 빈부, 종교 등으로 인한 ‘눈에 보이지 않는 장벽’까지! 왜, 무엇 때문에 생겨났는지 역사적 배경과 상황 등을 찬찬히 짚어 본다."
절대 죽지 않는 과학책,이성규,"과학·자연, 성장","현재 의료계에 없어서는 안 될 X-선부터 식량 생산량을 비약적으로 늘려 준 질소 비료, 인류를 고통과 질병에서 구한 모르핀과 페니실린, 20세기 최고의 발명품으로도 꼽히는 플라스틱, 그리고 전자산업혁명의 주역인 트랜지스터까지. 지금 인류가 누리는 과학 문명의 기원을 알아 가는 과정은 우리가 사는 세상을 더 면밀히 바라보게 한다."
정신적 승리,김송은,"철학, 가족·우정","일상이 고난의 연속인 고등학생 정승리. 집에서는 포악한 아버지가, 학교에서는 집요하게 사람을 괴롭히는 불독 선생과 끝없이 승리를 갈구는 친구 ‘개새’, 그에 동조하는 반 친구들이 있다. 그런 현실에 ‘사라져 버리고 싶은’ 승리는 코로나 바이러스에 감염되고, 코로나 바이러스 후유증(PCM)은 자신에게 가장 필요한 욕망을 반영한 몸의 변화를 만들어 낸다."
제대로 연습하는 법,아투로 E. 허낸데즈,"과학·자연, 성장","학습·훈련과 기량의 상관관계를 연구해 온 심리학자 아투로 E. 허낸데즈의 저서. 분야를 막론하고 새로운 것을 배우고 실력을 높이고자 하는 이들에게 최적의 경로 제시 지침서이다. 방대한 자료를 바탕으로, 경험과 기억의 조각들을 결합하고 재조합하는 인간의 창발성에 담긴 잠재력, 개인 능력치를 한계 너머까지 끌어올릴 과학적 방법론을 제시한다."
조금씩 몸을 바꾸며 살아갑니다,이은희,"과학·자연, 공감·다양성","우리 시대 최고의 과학 커뮤니케이터 하리하라 이은희 신작.  저자는 사람의 몸을 이루는 주요 기관의 특징과 역할을 자세히 살펴보고, 그러한 기능에 심각한 손상을 입거나 영구적 장애가 생겼을 때 현대 과학이 어떻게 대응해왔는지를 역사적으로 훑어보는 한편, 최신 과학기술의 눈부신 성과에 이어 아직 실현되지 않은 미래의 인간을 향한 전망까지 두루 아우른다."
조선 판타스틱 잉글리시,신현수,"역사, 예술","갑자기 내가 타임 슬립 한다면 어떻게 될까? 누구나 한 번쯤은 타임머신이나 과거로 돌아가 본다는 상상을 생각해 봤을 것이다. 이 소설은 열다섯 로라가 일제 강점기로 타임 슬립하는 것을 기점으로 이야기가 시작된다. 작가는 21세기를 살고 있는 우리에게 과거는 멈춰진 시간처럼 느껴지지만, 소설은 이러한 지점을 흥미롭게 풀어냈다."
조종자,정명섭,"성장, 가족·우정","서기 23세기, 기후 변화로 식량 위기에 처한 인류는 고도로 발달된 문명을 이루고도 끝내 핵전쟁이란 자멸의 길을 택한다. 탐욕과 이기심으로 지구마저 망가뜨린 인류는 글라디우스 행성으로 떠나는데. 새 삶의 희망을 채 품기도 전에 정체를 알 수 없는 괴물의 계속된 습격으로 하나로 뭉쳐야 할 사람들 사이에 반목과 대립을 담았다."
졸 틈 없는 수학책,송명진,"과학·자연, 성장","쓱~ 읽다 보면 눈이 번쩍! 떠지는 쉽고 재미있는 숫자 인문학으로, 현실 세상을 이루는 수학의 무궁무진한 세계가 숨 돌릴 틈 없이 펼쳐지는 놀라운 수학책이다. 역사와 문화, 예술과 마케팅, 정치와 경제 등 폭넓은 분야를 숫자와 함께 탐험하다 보면, 어려운 수학의 세계가 쉽고 명쾌해지는 놀라운 경험을 하게 될 것이다."
좋아요의 함정,이사벨 메이라,"예술, 성장",온종일 휴대전화를 보면서 ‘좋아요’와 ‘공유’를 누르는 우리를 위한 책. 가짜 뉴스와 인터넷 거대 기업의 본질을 파악하고 새로운 온라인 환경에 대처하는 미디어 리터러시 지침서.
좋아한다는 거짓말,허진희,"가족·우정, 성장","처음으로 누군가를 좋아하는 마음을 깨달아 가는 도은송, 좋아하는 마음을 늘 당당하게 드러내는 오로라, 한결같이 자신의 마음을 표현해 온 호서로, 갑자기 찾아온 좋아하는 마음에 덤벙거리는 남궁결, 자신의 마음을 용감하게 전하는 장반지 등 다섯 아이들을 중심으로 사랑이라는 감정을 오롯이 마주하는 십 대들의 가슴 설레는 이야기를 담았다."
중학생의 말 공부 솔직하고 친절하게,박미자,"가족·우정, 성장","자타공인 중학생 전문가 박미자 교수가 중학생만을 위해 쓴 중학생을 위한 말 공부 책. 아이들이 가장 어려워하는 사과하기, 진심 표현하기, 부모님이나 어른과 대화하는 요령 등 실생황의 대화법에 도움이 되는 내용이 가득하다. 저자가 현장에서 수집한 다양한 에피소드가 특히 흥미롭다."
지구를 살리는 20가지 질문,"봉포트, 안 브레스","과학·자연, 사회·정의","기후변화의 위험성을 부정하는 주장과, 가짜뉴스가 SNS 등 온라인을 통해 퍼지는 것을 보며, 프랑스 국립과학연구소 과학자와 기후학자, 환경저널리스트가 모였다. 기후변화의 현실을 차분하게 알려주고, 미래의 기후변화를 예측하며, 우리가 할 수 있는 것들을 정리하여 흥미로운 일러스트와 함께 대중적 콘텐츠로 펴냈다."
지구를 살리는 환경 어휘 교과서,홍명진,"과학·자연, 사회·정의","청소년들이 꼭 알아야 할 환경 어휘 50개를 골라 그 안에 담긴 함의와 맥락들을 정확히 짚고 환경과 생태에 대해 명확한 인식을 가질 수 있도록 돕는 책이다. 뉴스와 매체에서 자주 이야기하는 어휘들을 통해 환경에 대한 감수성을 높이고, 지구를 살리는 마음가짐과 생활 습관을 배울 수 있다."
